model,prompt,n_runs,n_draws,agreement_with_full_mean,agreement_with_full_std,f1_vs_gt_mean,f1_vs_gt_std,decision_size_mean,patterns_discovered_frac,p_correct_mean,p_correct_std
claude-haiku-4-5-20251001,v3,1,200,1.0,0.0,1.0,0.0,29.0,1.0,1.0,0.0
claude-haiku-4-5-20251001,v3,2,200,1.0,0.0,1.0,0.0,29.0,1.0,1.0,0.0
claude-haiku-4-5-20251001,v3,3,200,1.0,0.0,1.0,0.0,29.0,1.0,1.0,0.0
claude-haiku-4-5-20251001,v3,5,200,1.0,0.0,1.0,0.0,29.0,1.0,1.0,0.0
claude-haiku-4-5-20251001,v3,7,200,1.0,0.0,1.0,0.0,29.0,1.0,1.0,0.0
claude-haiku-4-5-20251001,v3,10,200,1.0,0.0,1.0,0.0,29.0,1.0,1.0,0.0
claude-haiku-4-5-20251001,v3,15,200,1.0,0.0,1.0,0.0,29.0,1.0,1.0,0.0
claude-haiku-4-5-20251001,v3,20,200,1.0,0.0,1.0,0.0,29.0,1.0,1.0,0.0
claude-haiku-4-5-20251001,v3,25,200,1.0,0.0,1.0,0.0,29.0,1.0,1.0,0.0
claude-haiku-4-5-20251001,v3,30,200,1.0,0.0,1.0,0.0,29.0,1.0,1.0,0.0
claude-haiku-4-5-20251001,v3,40,200,1.0,0.0,1.0,0.0,29.0,1.0,1.0,0.0
claude-haiku-4-5-20251001,v3,50,200,1.0,0.0,1.0,0.0,29.0,1.0,1.0,0.0
claude-haiku-4-5-20251001,v3,60,200,1.0,0.0,1.0,0.0,29.0,1.0,1.0,0.0
claude-haiku-4-5-20251001,v3,70,200,1.0,0.0,1.0,0.0,29.0,1.0,1.0,0.0
claude-haiku-4-5-20251001,v3,80,200,1.0,0.0,1.0,0.0,29.0,1.0,1.0,0.0
claude-haiku-4-5-20251001,v3,90,200,1.0,0.0,1.0,0.0,29.0,1.0,1.0,0.0
claude-haiku-4-5-20251001,v3,100,1,1.0,0.0,1.0,0.0,29.0,1.0,1.0,0.0
