model,prompt,n_runs,n_draws,agreement_with_full_mean,agreement_with_full_std,f1_vs_gt_mean,f1_vs_gt_std,decision_size_mean,patterns_discovered_frac,p_correct_mean,p_correct_std
qwen3p7-plus,v3,1,200,0.8072,0.271,0.8579,0.2352,28.81,0.0435,0.8867,0.2842
qwen3p7-plus,v3,2,200,0.861,0.1169,0.9092,0.08,34.745,0.0817,0.9055,0.1811
qwen3p7-plus,v3,3,200,0.9162,0.1451,0.9462,0.1221,30.335,0.1115,0.8884,0.1532
qwen3p7-plus,v3,5,200,0.9312,0.1109,0.9554,0.0901,30.785,0.1717,0.8912,0.125
qwen3p7-plus,v3,7,200,0.955,0.0709,0.9731,0.0554,30.35,0.2161,0.8819,0.1189
qwen3p7-plus,v3,10,200,0.9517,0.0516,0.9669,0.0345,31.065,0.2778,0.9003,0.0819
qwen3p7-plus,v3,15,200,0.973,0.0252,0.9821,0.019,30.08,0.3628,0.8968,0.0712
qwen3p7-plus,v3,20,200,0.9737,0.0275,0.9792,0.0193,30.255,0.4265,0.8959,0.0565
qwen3p7-plus,v3,25,200,0.9798,0.0175,0.986,0.0133,29.835,0.5072,0.8879,0.0495
qwen3p7-plus,v3,30,200,0.9804,0.0185,0.9831,0.0138,30.01,0.5498,0.8911,0.0425
qwen3p7-plus,v3,40,200,0.9858,0.0166,0.9829,0.0111,30.015,0.6502,0.8901,0.0332
qwen3p7-plus,v3,50,200,0.9877,0.0159,0.9836,0.0102,29.975,0.7261,0.8864,0.0283
qwen3p7-plus,v3,60,200,0.9903,0.0154,0.9844,0.0092,29.925,0.7839,0.8874,0.0218
qwen3p7-plus,v3,70,200,0.9927,0.0137,0.9851,0.0076,29.88,0.8385,0.8868,0.0198
qwen3p7-plus,v3,80,200,0.9977,0.0085,0.9837,0.0044,29.96,0.8972,0.8902,0.0146
qwen3p7-plus,v3,90,200,0.9993,0.0047,0.9834,0.0024,29.98,0.9422,0.8891,0.0091
qwen3p7-plus,v3,100,1,1.0,0.0,0.9831,0.0,30.0,1.0,0.889,0.0
