model,prompt,n_runs,n_draws,agreement_with_full_mean,agreement_with_full_std,f1_vs_gt_mean,f1_vs_gt_std,decision_size_mean,patterns_discovered_frac,p_correct_mean,p_correct_std
glm-5p2 (nores),v3,1,200,0.8583,0.0769,0.8716,0.0491,12.365,0.0263,0.8221,0.0829
glm-5p2 (nores),v3,2,200,0.8795,0.0648,0.8977,0.0412,13.895,0.0518,0.83,0.0531
glm-5p2 (nores),v3,3,200,0.9027,0.0654,0.8866,0.0364,12.375,0.0758,0.8232,0.0493
glm-5p2 (nores),v3,5,200,0.9119,0.061,0.892,0.0349,12.28,0.1217,0.8252,0.039
glm-5p2 (nores),v3,7,200,0.9249,0.0578,0.8931,0.031,12.345,0.1613,0.827,0.029
glm-5p2 (nores),v3,10,200,0.9507,0.0487,0.8984,0.0273,12.675,0.2222,0.8267,0.0246
glm-5p2 (nores),v3,15,200,0.9487,0.0499,0.8941,0.0254,12.515,0.3066,0.8273,0.0199
glm-5p2 (nores),v3,20,200,0.9657,0.0437,0.8934,0.0232,12.67,0.3787,0.8248,0.0166
glm-5p2 (nores),v3,25,200,0.9616,0.0454,0.8911,0.0245,12.53,0.4424,0.8261,0.0143
glm-5p2 (nores),v3,30,200,0.9755,0.0382,0.8927,0.0198,12.74,0.5022,0.827,0.0119
glm-5p2 (nores),v3,40,200,0.9723,0.0437,0.8931,0.0185,12.64,0.6,0.8252,0.0104
glm-5p2 (nores),v3,50,200,0.9865,0.0303,0.8914,0.0146,12.825,0.6834,0.8266,0.0082
glm-5p2 (nores),v3,60,200,0.9869,0.029,0.8928,0.0142,12.83,0.7508,0.8264,0.0069
glm-5p2 (nores),v3,70,200,0.9942,0.0203,0.8915,0.009,12.925,0.8318,0.8257,0.006
glm-5p2 (nores),v3,80,200,0.9981,0.012,0.8897,0.0054,12.975,0.8787,0.826,0.0044
glm-5p2 (nores),v3,90,200,1.0,0.0,0.8889,0.0,13.0,0.9434,0.8256,0.0027
glm-5p2 (nores),v3,100,1,1.0,0.0,0.8889,0.0,13.0,1.0,0.8257,0.0
