model,prompt,n_runs,n_draws,agreement_with_full_mean,agreement_with_full_std,f1_vs_gt_mean,f1_vs_gt_std,decision_size_mean,patterns_discovered_frac,p_correct_mean,p_correct_std
kimi-k3 (nores),v3,1,200,0.8425,0.1203,0.9092,0.0827,13.95,0.0222,0.9043,0.1222
kimi-k3 (nores),v3,2,200,0.8559,0.1293,0.9157,0.0977,16.57,0.043,0.9089,0.0817
kimi-k3 (nores),v3,3,200,0.9028,0.0783,0.9471,0.0454,13.875,0.063,0.9008,0.0695
kimi-k3 (nores),v3,5,200,0.9288,0.0703,0.9616,0.0394,13.97,0.0997,0.9017,0.0554
kimi-k3 (nores),v3,7,200,0.9386,0.0586,0.9674,0.0321,14.05,0.1334,0.9052,0.0466
kimi-k3 (nores),v3,10,200,0.9497,0.0454,0.9737,0.0242,14.53,0.1809,0.9099,0.0358
kimi-k3 (nores),v3,15,200,0.9665,0.0434,0.9825,0.0231,14.165,0.2526,0.9037,0.0291
kimi-k3 (nores),v3,20,200,0.9725,0.0378,0.9857,0.0199,14.31,0.3109,0.9091,0.0266
kimi-k3 (nores),v3,25,200,0.988,0.0265,0.9938,0.0138,14.15,0.3718,0.9058,0.0195
kimi-k3 (nores),v3,30,200,0.9876,0.0261,0.9936,0.0135,14.165,0.423,0.906,0.0189
kimi-k3 (nores),v3,40,200,0.9933,0.0201,0.9966,0.0104,14.1,0.5208,0.9067,0.0151
kimi-k3 (nores),v3,50,200,0.9984,0.012,0.9991,0.0063,14.025,0.6177,0.9071,0.0119
kimi-k3 (nores),v3,60,200,0.999,0.0081,0.9995,0.0042,14.015,0.7014,0.906,0.0101
kimi-k3 (nores),v3,70,200,1.0,0.0,1.0,0.0,14.0,0.7837,0.9063,0.0083
kimi-k3 (nores),v3,80,200,1.0,0.0,1.0,0.0,14.0,0.8602,0.9069,0.0063
kimi-k3 (nores),v3,90,200,1.0,0.0,1.0,0.0,14.0,0.9291,0.9062,0.0043
kimi-k3 (nores),v3,100,1,1.0,0.0,1.0,0.0,14.0,1.0,0.9064,0.0
