model,prompt,n_runs,n_draws,agreement_with_full_mean,agreement_with_full_std,f1_vs_gt_mean,f1_vs_gt_std,decision_size_mean,patterns_discovered_frac,p_correct_mean,p_correct_std
gemini-3.5-flash,v3,1,200,0.9514,0.0481,0.8976,0.0259,17.22,0.1,1.0,0.0
gemini-3.5-flash,v3,2,200,0.9847,0.0279,0.8796,0.013,17.84,0.1745,1.0,0.0
gemini-3.5-flash,v3,3,200,0.9733,0.0339,0.8887,0.0175,17.52,0.237,1.0,0.0
gemini-3.5-flash,v3,5,200,0.98,0.0295,0.8852,0.0152,17.64,0.307,1.0,0.0
gemini-3.5-flash,v3,7,200,0.9775,0.029,0.8865,0.0148,17.595,0.4095,1.0,0.0
gemini-3.5-flash,v3,10,200,0.9903,0.0212,0.8799,0.0108,17.825,0.468,1.0,0.0
gemini-3.5-flash,v3,15,200,0.9844,0.025,0.8829,0.0127,17.72,0.577,1.0,0.0
gemini-3.5-flash,v3,20,200,0.9908,0.0207,0.8797,0.0105,17.835,0.647,1.0,0.0
gemini-3.5-flash,v3,25,200,0.9889,0.0223,0.8806,0.0113,17.8,0.6965,1.0,0.0
gemini-3.5-flash,v3,30,200,0.9956,0.0151,0.8773,0.0077,17.92,0.749,1.0,0.0
gemini-3.5-flash,v3,40,200,0.9936,0.0178,0.8782,0.009,17.885,0.813,1.0,0.0
gemini-3.5-flash,v3,50,200,0.9969,0.0127,0.8766,0.0065,17.945,0.867,1.0,0.0
gemini-3.5-flash,v3,60,200,0.9972,0.0121,0.8764,0.0062,17.95,0.9115,1.0,0.0
gemini-3.5-flash,v3,70,200,0.9997,0.0039,0.8751,0.002,17.995,0.932,1.0,0.0
gemini-3.5-flash,v3,80,200,1.0,0.0,0.875,0.0,18.0,0.958,1.0,0.0
gemini-3.5-flash,v3,90,200,1.0,0.0,0.875,0.0,18.0,0.981,1.0,0.0
gemini-3.5-flash,v3,100,1,1.0,0.0,0.875,0.0,18.0,1.0,1.0,0.0
