model,prompt,n_runs,n_draws,agreement_with_full_mean,agreement_with_full_std,f1_vs_gt_mean,f1_vs_gt_std,decision_size_mean,patterns_discovered_frac,p_correct_mean,p_correct_std
gpt-4.1,v3,1,200,0.9673,0.0381,0.94,0.0198,12.425,0.5,0.8875,0.0354
gpt-4.1,v3,2,200,0.9519,0.0373,0.948,0.0194,12.625,0.73,0.8854,0.0252
gpt-4.1,v3,3,200,0.9727,0.0369,0.9372,0.0191,12.355,0.88,0.8858,0.0191
gpt-4.1,v3,5,200,0.9738,0.0365,0.9366,0.0189,12.34,0.97,0.8861,0.0152
gpt-4.1,v3,7,200,0.9765,0.0355,0.9352,0.0184,12.305,0.98,0.8867,0.0131
gpt-4.1,v3,10,200,0.9688,0.0379,0.9392,0.0196,12.405,0.9925,0.8869,0.0113
gpt-4.1,v3,15,200,0.9838,0.0314,0.9315,0.0163,12.21,1.0,0.8863,0.0089
gpt-4.1,v3,20,200,0.9796,0.034,0.9336,0.0176,12.265,1.0,0.8869,0.007
gpt-4.1,v3,25,200,0.9915,0.0241,0.9275,0.0125,12.11,1.0,0.8861,0.0061
gpt-4.1,v3,30,200,0.9885,0.0275,0.9291,0.0143,12.15,1.0,0.8865,0.0052
gpt-4.1,v3,40,200,0.9935,0.0215,0.9265,0.0112,12.085,1.0,0.8859,0.0044
gpt-4.1,v3,50,200,0.995,0.019,0.9257,0.0099,12.065,1.0,0.8866,0.0037
gpt-4.1,v3,60,200,0.9988,0.0094,0.9237,0.0049,12.015,1.0,0.8867,0.0028
gpt-4.1,v3,70,200,0.9996,0.0054,0.9233,0.0028,12.005,1.0,0.8866,0.0022
gpt-4.1,v3,80,200,1.0,0.0,0.9231,0.0,12.0,1.0,0.8864,0.0016
gpt-4.1,v3,90,200,1.0,0.0,0.9231,0.0,12.0,1.0,0.8865,0.0012
gpt-4.1,v3,100,1,1.0,0.0,0.9231,0.0,12.0,1.0,0.8864,0.0
