model,prompt,n_runs,n_draws,agreement_with_full_mean,agreement_with_full_std,f1_vs_gt_mean,f1_vs_gt_std,decision_size_mean,patterns_discovered_frac,p_correct_mean,p_correct_std
gpt-4o,v3,1,200,0.6592,0.1416,0.6544,0.0832,10.03,0.011,0.5668,0.1217
gpt-4o,v3,2,200,0.657,0.1153,0.6959,0.0614,12.715,0.0219,0.5564,0.094
gpt-4o,v3,3,200,0.7647,0.128,0.6855,0.0757,9.275,0.033,0.5644,0.0743
gpt-4o,v3,5,200,0.8076,0.1098,0.697,0.0595,8.815,0.0548,0.5561,0.0565
gpt-4o,v3,7,200,0.8545,0.1017,0.7188,0.052,8.915,0.0763,0.5632,0.0424
gpt-4o,v3,10,200,0.8649,0.0912,0.7295,0.039,9.58,0.1087,0.5628,0.0355
gpt-4o,v3,15,200,0.8933,0.0827,0.7347,0.0386,8.785,0.162,0.561,0.0296
gpt-4o,v3,20,200,0.9198,0.0761,0.7481,0.0332,8.975,0.2149,0.5621,0.0242
gpt-4o,v3,25,200,0.9199,0.0683,0.7455,0.0325,8.64,0.2674,0.5587,0.0226
gpt-4o,v3,30,200,0.9346,0.0674,0.7532,0.0307,8.8,0.3186,0.5622,0.019
gpt-4o,v3,40,200,0.9397,0.0612,0.7538,0.0291,8.605,0.4221,0.5593,0.015
gpt-4o,v3,50,200,0.946,0.0571,0.7562,0.0279,8.57,0.5223,0.5601,0.0126
gpt-4o,v3,60,200,0.9506,0.0554,0.758,0.0276,8.555,0.6191,0.5612,0.0101
gpt-4o,v3,70,200,0.9517,0.0552,0.7585,0.0275,8.565,0.7142,0.5603,0.0087
gpt-4o,v3,80,200,0.9617,0.053,0.7635,0.0264,8.655,0.8105,0.5605,0.006
gpt-4o,v3,90,200,0.9544,0.0548,0.7599,0.0273,8.59,0.9069,0.56,0.0042
gpt-4o,v3,100,1,1.0,0.0,0.7826,0.0,9.0,1.0,0.5607,0.0
