prompt,model,rank,weight,size,chunks
v3,qwen3p7-plus,1,0.19,6,"200,226,236,239,244,250"
v3,qwen3p7-plus,2,0.15,13,"200,201,214,224,226,227,229,236,239,244,250,251,252"
v3,qwen3p7-plus,3,0.12,16,"200,201,214,224,225,226,227,228,229,236,239,244,249,250,251,252"
v3,qwen3p7-plus,4,0.08,16,"200,201,212,214,224,225,226,227,228,229,236,239,244,250,251,252"
v3,qwen3p7-plus,5,0.07,15,"199,200,201,214,224,225,226,227,228,229,236,239,250,251,252"
v3,qwen3p7-plus,6,0.06,13,"200,201,214,224,225,226,227,228,236,239,244,250,251"
v3,qwen3p7-plus,7,0.04,11,"200,201,214,226,227,229,236,239,244,249,251"
v3,qwen3p7-plus,8,0.03,15,"200,215,217,224,225,226,227,228,229,236,239,244,249,251,252"
v3,qwen3p7-plus,9,0.03,15,"200,201,215,224,225,226,227,228,229,236,239,244,250,251,252"
v3,qwen3p7-plus,10,0.02,12,"199,200,201,214,224,226,227,236,239,240,250,251"
v3,qwen3p7-plus,11,0.02,16,"200,202,214,224,225,226,227,228,229,236,239,244,249,250,251,252"
v3,qwen3p7-plus,12,0.02,17,"200,201,214,224,225,226,227,228,229,236,237,239,240,244,250,251,252"
v3,qwen3p7-plus,13,0.02,18,"200,201,212,214,224,225,226,227,228,229,237,239,240,245,247,250,251,252"
v3,qwen3p7-plus,14,0.02,14,"199,200,201,215,224,225,226,227,236,239,244,249,250,251"
v3,qwen3p7-plus,15,0.01,13,"200,201,214,225,226,227,229,236,239,249,250,251,252"
v3,qwen3p7-plus,16,0.01,12,"200,201,214,224,226,227,237,239,240,244,252,253"
v3,qwen3p7-plus,17,0.01,6,"200,226,236,240,248,250"
v3,qwen3p7-plus,18,0.01,11,"200,201,214,225,226,227,229,237,239,250,251"
v3,qwen3p7-plus,19,0.01,6,"200,226,237,239,244,249"
v3,qwen3p7-plus,20,0.01,17,"200,201,213,214,224,225,226,227,228,229,232,236,239,244,250,251,252"
v3,qwen3p7-plus,21,0.01,12,"200,201,214,224,226,227,236,240,241,246,251,253"
v3,qwen3p7-plus,22,0.01,14,"200,201,214,224,226,227,229,242,245,246,251,260,263,264"
v3,qwen3p7-plus,23,0.01,11,"201,202,215,225,226,227,240,246,252,260,261"
v3,qwen3p7-plus,24,0.01,16,"201,202,215,225,226,227,228,229,230,237,239,241,248,250,251,252"
v3,qwen3p7-plus,25,0.01,6,"200,227,240,244,249,255"
v3,qwen3p7-plus,26,0.01,7,"200,226,237,242,244,250,256"
v3,qwen3p7-plus,27,0.01,16,"200,201,212,214,224,225,226,227,228,229,237,240,246,251,252,254"
v3,gpt-4o,1,0.23,11,"199,200,201,214,216,224,226,227,228,236,250"
v3,gpt-4o,2,0.22,9,"200,201,214,215,224,226,227,236,250"
v3,gpt-4o,3,0.14,6,"200,202,226,227,236,250"
v3,gpt-4o,4,0.03,12,"199,200,201,202,203,215,224,226,227,236,250,252"
v3,gpt-4o,5,0.03,11,"199,200,201,214,224,226,227,236,250,251,252"
v3,gpt-4o,6,0.03,7,"200,201,226,227,228,236,250"
v3,gpt-4o,7,0.02,8,"195,224,226,227,228,236,246,250"
