prompt,model,rank,weight,size,chunks
v2,claude-haiku-4-5-20251001,1,1.0,29,"391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419"
v2,claude-opus-4-5,1,1.0,29,"391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419"
v2,claude-sonnet-4-5,1,1.0,29,"391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419"
v2,gemini-3.5-flash,1,1.0,29,"391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419"
v2,gemini-3.6-flash,1,1.0,29,"391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419"
v2,gemini-3.1-flash-lite,1,1.0,29,"391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419"
v2,gemini-3.1-pro-preview,1,1.0,29,"391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419"
v2,gpt-4.1,1,1.0,29,"391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419"
v2,gpt-4.1-mini,1,1.0,29,"391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419"
v2,gpt-4o,1,1.0,29,"391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419"
v2,gpt-4o-mini,1,1.0,11,"391,393,395,396,397,399,401,403,408,412,415"
